age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,target
56,Local-gov,205522,Bachelors,13,Divorced,Craft-repair,Husband,White,Male,162.06922245955926,50.65820084891707,47,Philippines,1
69,Self-emp-not-inc,281454,HS-grad,9,Never-married,Craft-repair,Not-in-family,Asian-Pac-Islander,Female,408.9341315564247,3.9213472789247334,28,France,0
46,Self-emp-not-inc,234566,Bachelors,13,Never-married,Exec-managerial,Wife,Black,Male,624.2560507888368,133.92355674661377,41,Italy,1
32,Private,177386,Masters,14,Never-married,Exec-managerial,Wife,White,Female,677.1683688078846,252.747005438115,26,El-Salvador,0
60,Self-emp-not-inc,95037,Masters,14,Never-married,Exec-managerial,Wife,Black,Male,23.76120290207529,29.404914516821034,23,Canada,0
25,Private,162666,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,Black,Male,748.114670793343,78.19415368809753,48,Germany,0
38,Local-gov,177048,Bachelors,13,Never-married,Craft-repair,Husband,Black,Male,80.16082036104605,164.82757243159094,29,Germany,1
56,Local-gov,133040,Bachelors,13,Divorced,Prof-specialty,Husband,Black,Female,395.77362863578514,38.72597833421648,40,El-Salvador,1
36,Local-gov,161264,Masters,14,Married-civ-spouse,Craft-repair,Not-in-family,Black,Female,3707.9388347836684,33.71172567047838,23,Philippines,1
40,Private,211113,Masters,14,Never-married,Prof-specialty,Wife,White,Male,329.01917759178895,52.94398031194649,43,Japan,1
28,Self-emp-not-inc,60715,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,Black,Male,1675.9622709895475,79.9785984364123,40,United-States,1
28,Local-gov,202875,Masters,14,Divorced,Prof-specialty,Wife,White,Male,714.0004543113986,80.41531112663435,37,Philippines,1
41,Self-emp-not-inc,249978,HS-grad,9,Never-married,Exec-managerial,Husband,White,Female,226.16629109399213,66.62236453457582,45,Canada,0
53,Self-emp-not-inc,111726,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Female,1279.9053616650926,171.668129525264,27,United-Kingdom,0
57,Local-gov,182980,HS-grad,9,Never-married,Prof-specialty,Not-in-family,Black,Male,809.994328512169,16.595881551925483,42,United-Kingdom,0
41,Private,168208,HS-grad,9,Married-civ-spouse,Craft-repair,Wife,Black,Female,761.4976279560599,8.900763301030977,28,India,0
20,Self-emp-not-inc,218147,Masters,14,Married-civ-spouse,Exec-managerial,Not-in-family,White,Female,30.35858718734852,18.459830813558415,44,Germany,0
39,Local-gov,245659,HS-grad,9,Divorced,Prof-specialty,Not-in-family,Black,Female,406.23330588882476,121.74120203736027,55,Italy,0
19,Self-emp-not-inc,103648,Masters,14,Divorced,Exec-managerial,Not-in-family,White,Female,1326.9184929858889,15.693997248813401,51,Cuba,0
41,Self-emp-not-inc,71134,HS-grad,9,Never-married,Exec-managerial,Not-in-family,Black,Male,1590.059781765226,38.982689550981085,26,Canada,1
61,Self-emp-not-inc,290673,Masters,14,Never-married,Craft-repair,Not-in-family,Black,Female,1686.3559785295283,211.76063676455016,52,Cuba,1
47,Self-emp-not-inc,296257,HS-grad,9,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,38.11032171747643,15.108915880042401,50,India,1
55,Self-emp-not-inc,106143,Masters,14,Divorced,Exec-managerial,Not-in-family,Black,Male,177.58626345178595,75.11449958774912,36,Italy,1
19,Private,119123,Bachelors,13,Divorced,Craft-repair,Wife,White,Female,4238.909440318085,70.53025668870497,54,Italy,1
38,Private,276631,HS-grad,9,Married-civ-spouse,Prof-specialty,Not-in-family,White,Female,168.94693417697252,3.4639254828901143,41,United-States,0
50,Local-gov,226225,HS-grad,9,Divorced,Prof-specialty,Wife,Black,Female,239.546479385305,12.26365396653438,48,United-Kingdom,0
29,Private,183485,Bachelors,13,Divorced,Exec-managerial,Wife,Black,Female,1622.6464838955874,300.3611722331037,37,Germany,1
39,Private,299560,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Female,499.9477754696926,324.4849432629946,29,Germany,0
61,Private,271646,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Male,123.65613836903893,207.67123010608466,34,El-Salvador,1
42,Self-emp-not-inc,203627,Masters,14,Never-married,Exec-managerial,Wife,White,Male,133.63929925861277,56.53882069781518,26,Cuba,1
66,Self-emp-not-inc,192024,HS-grad,9,Never-married,Prof-specialty,Husband,Asian-Pac-Islander,Male,87.49569362732399,89.87981718967592,57,India,1
44,Local-gov,250065,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Black,Male,199.26628192415578,173.81335507287275,33,France,0
59,Local-gov,255072,Bachelors,13,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,687.1303888913092,112.74580591361256,45,Philippines,1
45,Local-gov,171657,Masters,14,Married-civ-spouse,Exec-managerial,Not-in-family,White,Female,15.18862066676493,225.50589763351906,37,Cuba,0
33,Self-emp-not-inc,116686,HS-grad,9,Married-civ-spouse,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,124.57866392822477,37.94185827824343,37,Philippines,0
32,Private,162841,Bachelors,13,Divorced,Craft-repair,Not-in-family,White,Female,2376.4820357348376,97.85659115450767,25,France,1
64,Private,82264,Bachelors,13,Divorced,Craft-repair,Wife,Asian-Pac-Islander,Male,2092.173215846937,83.7107134001602,44,Cuba,1
68,Self-emp-not-inc,286830,HS-grad,9,Never-married,Prof-specialty,Wife,Asian-Pac-Islander,Male,1790.2428813598885,417.3056942018328,31,Germany,1
61,Local-gov,228625,HS-grad,9,Married-civ-spouse,Craft-repair,Not-in-family,Black,Female,1225.1338718163584,210.43668324176085,49,China,1
69,Local-gov,235431,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Black,Male,1083.295167684646,18.05522742210456,38,Canada,1
20,Local-gov,159885,Masters,14,Never-married,Exec-managerial,Wife,Asian-Pac-Islander,Male,322.2953410099605,6.0698272066704435,40,United-States,1
54,Self-emp-not-inc,279394,Masters,14,Divorced,Craft-repair,Not-in-family,White,Female,407.96001658954583,59.131801545182284,35,United-States,1
68,Local-gov,190880,Masters,14,Never-married,Prof-specialty,Husband,Black,Female,268.9285961013936,78.85923848190288,54,Canada,1
